kind,t0,t1,tokens,ms,key
d2h,586.3002986907959,588.0092988014221,5056,51.4,
d2h,587.927298784256,588.0092988014221,3072,31.4,
d2h,587.9282987117767,588.0432987213135,2112,21.5,
d2h,587.9682986736298,588.0432987213135,64,0.7,
evict_device,590.6312987804413,590.6312987804413,512,,
d2h,591.9072988033295,591.9442987442017,128,1.5,
evict_device,591.9462988376617,591.9462988376617,7936,,
evict_device,591.9842987060547,591.9842987060547,5184,,
evict_host,601.1552987098694,601.1552987098694,8320,,
d2h,601.1572988033295,601.2412986755371,8192,83.6,
evict_host,601.1572988033295,601.1572988033295,8768,,
d2h,601.1582987308502,601.2822988033295,4032,41.0,
d2h,603.1542987823486,603.1552987098694,128,1.5,
d2h,604.4692988395691,604.4712986946106,64,0.8,
evict_device,604.5102987289429,604.5102987289429,9408,,
evict_device,604.5492987632751,604.5492987632751,8192,,
evict_host,614.9052987098694,614.9052987098694,5696,,
d2h,614.9062986373901,614.9902987480164,8192,83.5,
d2h,614.9072988033295,615.0542986392975,2368,24.0,
evict_host,614.909298658371,614.909298658371,4672,,
d2h,614.9102988243103,615.0542986392975,3904,39.7,
d2h,616.5322988033295,616.5702986717224,704,7.4,
d2h,617.1752986907959,617.2142987251282,320,3.5,
d2h,617.2132987976074,617.2142987251282,64,0.8,
evict_device,617.2162988185883,617.2162988185883,9280,,
evict_device,617.255298614502,617.255298614502,7936,,
evict_host,629.2202987670898,629.2202987670898,8448,,
d2h,629.2222986221313,629.3082988262177,8192,83.6,
evict_host,629.2222986221313,629.2222986221313,5184,,
d2h,629.2232987880707,629.3842988014221,4736,48.3,
evict_host,629.2252986431122,629.2252986431122,2240,,
d2h,629.2262988090515,629.3842988014221,2944,30.0,
d2h,629.3062987327576,629.4172987937927,384,4.0,
evict_host,629.3062987327576,629.3062987327576,3072,,
d2h,631.699298620224,631.7382986545563,448,4.8,
evict_device,631.7402987480164,631.7402987480164,3968,,
evict_device,631.7772986888885,631.7772986888885,7104,,
evict_host,643.7042987346649,643.7042987346649,12288,,
d2h,643.706298828125,643.7902987003326,8192,83.5,
evict_host,643.706298828125,643.706298828125,704,,
d2h,643.7072987556458,643.8682987689972,6656,67.7,
d2h,644.148298740387,644.1492986679077,128,1.5,
evict_host,647.1532986164093,647.1532986164093,384,,
d2h,647.1542987823486,647.1922986507416,448,4.9,
evict_device,647.1942987442017,647.1942987442017,9792,,
evict_device,647.2332987785339,647.2332987785339,8192,,
evict_host,658.8742988109589,658.8742988109589,8192,,
d2h,658.8762986660004,658.9602987766266,8192,83.5,
evict_host,658.8762986660004,658.8762986660004,7936,,
d2h,658.8772988319397,659.0282986164093,2688,27.3,
d2h,658.8792986869812,659.0412986278534,5376,54.6,
d2h,662.206298828125,662.2082986831665,64,0.8,
evict_device,662.2472987174988,662.2472987174988,5440,,
evict_host,665.9242987632751,665.9242987632751,11072,,
d2h,665.9252986907959,666.0062987804413,5184,52.9,
d2h,666.9302988052368,666.9692988395691,192,2.1,
evict_device,666.9712986946106,666.9712986946106,6848,,
evict_device,667.0112986564636,667.0112986564636,8192,,
d2h,672.3552987575531,678.3442988395691,4928,50.2,
evict_host,678.2952988147736,678.2952988147736,3392,,
d2h,678.2962987422943,678.3772988319397,3200,32.5,
evict_host,678.2972986698151,678.2972986698151,14592,,
d2h,678.2982988357544,678.4572987556458,7552,76.7,
d2h,679.7912986278534,679.8302986621857,384,4.2,
evict_device,679.8332986831665,679.8332986831665,10944,,
d2h,684.3552987575531,684.4352986812592,6528,66.6,
d2h,684.9062986373901,684.9072988033295,64,0.8,
evict_device,684.9462988376617,684.9462988376617,5248,,
evict_host,691.9622986316681,691.9622986316681,12288,,
d2h,691.9642987251282,692.0482988357544,8192,83.5,
d2h,691.9652986526489,692.0822987556458,1408,14.4,
d2h,692.5542986392975,692.5552988052368,64,0.8,
d2h,692.5932986736298,692.5952987670898,64,0.8,
evict_device,692.5972986221313,692.5972986221313,12608,,
evict_host,702.5492987632751,702.5492987632751,8192,,
d2h,702.5502986907959,702.6342988014221,8192,83.3,
evict_host,702.5512986183167,702.5512986183167,2752,,
d2h,702.552298784256,702.7082986831665,4608,46.8,
d2h,703.8812987804413,703.9202988147736,128,1.5,
d2h,704.4462988376617,704.4482986927032,64,0.8,
evict_device,704.4852986335754,704.4852986335754,9856,,
evict_device,704.5242986679077,704.5242986679077,9664,,
evict_host,716.0692987442017,716.0692987442017,8192,,
d2h,716.0702986717224,718.2892987728119,8192,83.2,
d2h,716.0712988376617,718.3522987365723,2944,29.9,
evict_host,716.0712988376617,716.0712988376617,5248,,
d2h,716.0732986927032,718.353298664093,3264,33.2,
evict_host,718.206298828125,718.206298828125,4992,,
d2h,718.2072987556458,718.371298789978,1856,18.8,
d2h,718.2092986106873,718.4082987308502,3008,30.5,
d2h,721.0392987728119,721.0412986278534,64,0.9,
d2h,721.3922986984253,721.393298625946,64,0.8,
evict_device,721.4322986602783,721.4322986602783,6336,,
evict_host,725.9462988376617,725.9462988376617,7616,,
d2h,725.9472987651825,726.0272986888885,6400,65.2,
evict_device,726.496298789978,726.496298789978,8192,,
d2h,726.5752987861633,726.5772986412048,128,1.7,
evict_device,726.6532986164093,726.6532986164093,3136,,
evict_host,732.7482986450195,732.7482986450195,9856,,
d2h,732.7492988109589,732.8332986831665,8192,83.6,
d2h,732.7502987384796,732.8682987689972,384,4.0,
d2h,734.6002986431122,734.6392986774445,192,2.2,
evict_device,734.6412987709045,734.6412987709045,6656,,
evict_device,734.6792986392975,734.6792986392975,8192,,
evict_host,745.7102987766266,745.7102987766266,9664,,
d2h,745.7112987041473,745.7952988147736,8192,83.5,
evict_host,745.7122986316681,745.7122986316681,3328,,
d2h,745.7132987976074,745.8732986450195,5888,59.8,
d2h,746.1122987270355,746.1512987613678,576,6.1,
evict_device,746.1532986164093,746.1532986164093,5312,,
evict_device,746.1922986507416,746.1922986507416,8192,,
evict_host,754.5952987670898,754.5952987670898,11200,,
d2h,754.5972986221313,754.6812987327576,8192,83.6,
d2h,754.5982987880707,754.7162988185883,3136,31.8,
d2h,755.1922986507416,755.1932988166809,64,0.8,
evict_device,755.2332987785339,755.2332987785339,8640,,
evict_host,762.3382987976074,762.3382987976074,9792,,
d2h,762.3402986526489,762.4232988357544,8192,83.3,
d2h,762.3412988185883,762.4582986831665,1600,16.3,
d2h,763.6812987327576,763.6822986602783,128,1.5,
evict_device,763.7212986946106,763.7212986946106,6528,,
evict_host,768.2412986755371,768.2412986755371,8192,,
d2h,768.2422986030579,768.324298620224,6400,65.3,
d2h,768.6062986850739,768.6082987785339,64,0.8,
evict_device,768.6472988128662,768.6472988128662,11392,,
